ap,vc,f,Ra
0.5,310,0.13,1.104
0.5,310,0.07,0.456
0.5,310,0.07,0.453
0.5,310,0.07,0.452
0.5,310,0.07,0.451
0.5,310,0.07,0.442
0.5,310,0.07,0.445
0.5,350,0.13,0.968
0.5,350,0.13,0.96
0.5,350,0.13,0.965
0.5,350,0.13,0.978
0.5,350,0.13,0.968
0.5,350,0.13,0.969
0.5,350,0.1,0.653
0.5,350,0.1,0.625
0.5,350,0.1,0.616
0.5,350,0.1,0.605
0.5,350,0.1,0.622
0.5,350,0.1,0.622
0.5,350,0.07,0.369
0.5,350,0.07,0.407
0.5,350,0.07,0.403
0.5,350,0.07,0.404
0.5,350,0.07,0.403
0.5,350,0.07,0.362
0.5,390,0.07,0.255
0.5,390,0.07,0.258
0.5,390,0.07,0.267
0.5,390,0.07,0.295
0.5,390,0.07,0.288
0.5,390,0.07,0.275
0.5,390,0.1,0.413
0.5,390,0.1,0.396
0.5,390,0.1,0.389
0.5,390,0.1,0.367
0.5,390,0.1,0.406
0.5,390,0.1,0.418
0.5,390,0.13,0.668
0.5,390,0.13,0.658
0.5,390,0.13,0.662
0.5,390,0.13,0.668
0.5,390,0.13,0.691
0.5,390,0.13,0.66
0.8,310,0.1,1.014
0.8,310,0.1,0.974
0.8,310,0.1,0.977
0.8,310,0.1,0.966
0.8,310,0.1,0.929
0.8,310,0.1,0.918
0.8,310,0.07,0.653
0.8,310,0.07,0.603
0.8,310,0.07,0.615
0.8,310,0.07,0.607
0.8,310,0.07,0.681
0.8,310,0.07,0.753
0.8,310,0.13,0.924
0.8,310,0.13,0.93
0.8,310,0.13,0.925
0.8,310,0.13,0.932
0.8,310,0.13,0.924
0.8,310,0.13,0.936
0.8,350,0.07,0.569
0.8,350,0.07,0.581
0.8,350,0.07,0.584
0.8,350,0.07,0.579
0.8,350,0.07,0.566
0.8,350,0.07,0.539
0.8,350,0.13,0.829
0.8,350,0.13,0.892
0.8,350,0.13,0.86
0.8,350,0.13,0.874
0.8,350,0.13,0.874
0.8,350,0.13,0.894
0.8,350,0.1,0.685
0.8,350,0.1,0.644
0.8,350,0.1,0.692
0.8,350,0.1,0.66
0.8,350,0.1,0.698
0.8,350,0.1,0.698
0.8,390,0.07,0.489
0.8,390,0.07,0.465
0.8,390,0.07,0.484
0.8,390,0.07,0.489
0.8,390,0.07,0.439
0.8,390,0.07,0.439
0.8,390,0.13,0.848
0.8,390,0.13,0.823
0.8,390,0.13,0.839
0.8,390,0.13,0.838
0.8,390,0.13,0.821
0.8,390,0.13,0.843
0.8,390,0.1,0.538
0.8,390,0.1,0.597
0.8,390,0.1,0.61
0.8,390,0.1,0.569
0.8,390,0.1,0.592
0.8,390,0.1,0.579
